"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Georgemungez: #SupremeCourtDecides Everyone today defines justice differently, because we think our candidate should have won.. Let Ken…",FALSE,0,NA,2017-09-01 06:36:21,FALSE,NA,"903506796932988928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mcyna",65,TRUE,FALSE,NA,NA
"2","RT @NASA_Ke: Today as #SupremeCourtDecides, we hope they do what's right for Kenya NOW &amp; in the future. Elections MUST alwys count. #Nullif…",FALSE,0,NA,2017-09-01 06:36:19,FALSE,NA,"903506789056077824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kivelenge1",80,TRUE,FALSE,NA,NA
"3","#SupremeCourtDecides I appeal to my luo brothers, remember these politicians whether it is Uhuru or Odinga do not put a meal on the table",FALSE,0,NA,2017-09-01 06:36:18,FALSE,NA,"903506786308820992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jese1900",0,FALSE,FALSE,NA,NA
"4","#SupremeCourtDecides
Turning and turning in the widening gyre;The falcon cannot hear the falconer;Things Fall Apart; the centre cannot hold",FALSE,0,NA,2017-09-01 06:36:15,FALSE,NA,"903506770382991360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ObwareKevin",0,FALSE,FALSE,NA,NA
"5","RT @AmakanjiThomas: #SupremeCourtDecides for the last time in a  presidential elections before we secede in peace!I want to be part of the…",FALSE,0,NA,2017-09-01 06:36:07,FALSE,NA,"903506738665705472",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","OlalDennis",1,TRUE,FALSE,NA,NA
"6","RT @Nana_kwamboka: #SupremeCourtDecides 

Security beefed up ahead of Supreme Court judgment on NASA presidential election petition. https:…",FALSE,0,NA,2017-09-01 06:36:07,FALSE,NA,"903506736606302208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PaulOgega6",1,TRUE,FALSE,NA,NA
"7","Are you still wondering why Gado was fired by Nation?

#SupremeCourtDecides https://t.co/Z3jLB2GRMf",FALSE,0,NA,2017-09-01 06:36:04,FALSE,NA,"903506727584325632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ItsEDUH",0,FALSE,FALSE,NA,NA
"8","#SupremeCourtDecides What if the ruling favours Raila and we have election then Uhuru wins again.Then Raila goes back to court what happens?",FALSE,0,NA,2017-09-01 06:36:04,FALSE,NA,"903506725948542977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MitiraNehemia",0,FALSE,FALSE,NA,NA
"9","Make it a noble decision or just let us be. Punda amechoka #SupremeCourtDecides",FALSE,0,NA,2017-09-01 06:35:56,FALSE,NA,"903506693136449537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajanjaot",0,FALSE,FALSE,NA,NA
"10","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675490988033",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ItsChinua",98,TRUE,FALSE,NA,NA
"11","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675302326272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MudavadiJnr",98,TRUE,FALSE,NA,NA
"12","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675209994240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","choice20171",98,TRUE,FALSE,NA,NA
"13","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506675163910144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ItsMeekMeal",98,TRUE,FALSE,NA,NA
